Format=7,10908,,,Left Skank,,,,,,,,,,,14140,,,Right Shank,,,,,,,,,,,15955,,,Left Thigh,,,,,,,,,,,15985,,,Right Thigh,,,,,,,,,,,16169,,,Waist,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1763460523121980,-8.521957,-0.151998,-4.419080,-0.003478,-0.002618,-0.003204,,,,4636922280964784100.000000,0.013888,-0.854107,0.005401,0.519883,-8.231076,-0.317392,-4.958556,-0.000575,0.000781,-0.004273,,,,4636917019629846500.000000,0.029095,-0.870847,0.017209,0.490391,-2.697836,-1.659937,9.222558,-0.008023,0.000024,0.003750,,,,4636915945888022500.000000,0.985645,-0.089901,0.142425,0.011705,-2.742497,0.016377,9.216889,-0.013521,-0.001771,0.001771,,,,4636916160636387300.000000,0.989358,0.002436,0.145483,-0.000763,-9.488637,0.389940,0.039410,0.000885,0.022553,-0.001129,,,,4636919596610224100.000000,0.290832,0.659260,0.264502,-0.640962
1763460523129792,-8.497543,-0.175221,-4.424588,-0.005927,-0.002722,-0.003204,,,,4636922280964784100.000000,0.013882,-0.854107,0.005385,0.519884,-8.201027,-0.299550,-4.950571,0.000781,0.000288,-0.004273,,,,4636917019629846500.000000,0.029109,-0.870845,0.017189,0.490393,-2.715739,-1.672414,9.228797,-0.005911,-0.000546,0.002682,,,,4636916050870614000.000000,0.985643,-0.089921,0.142426,0.011712,-2.730591,0.004170,9.196345,-0.014589,-0.001433,0.002136,,,,4636916160636387300.000000,0.989357,0.002377,0.145489,-0.000750,-9.548275,0.379125,0.084756,-0.002197,0.023837,-0.002075,,,,4636919596610224100.000000,0.290805,0.659321,0.264546,-0.640893
1763460523137604,-8.484145,-0.184303,-4.425780,-0.005823,-0.001172,-0.003686,,,,4636922280964784100.000000,0.013877,-0.854110,0.005368,0.519880,-8.164408,-0.292978,-4.943998,0.001849,0.001561,-0.003492,,,,4636917019629846500.000000,0.029124,-0.870847,0.017174,0.490391,-2.734458,-1.672414,9.204929,-0.004273,0.000000,0.002136,,,,4636916160636387300.000000,0.985641,-0.089935,0.142429,0.011715,-2.722251,-0.024113,9.192175,-0.012844,-0.001068,0.002840,,,,4636916302033243100.000000,0.989356,0.002325,0.145496,-0.000735,-9.580725,0.389942,0.073244,-0.003265,0.010594,-0.001007,,,,4636919596610224100.000000,0.290797,0.659349,0.264575,-0.640855
1763460523145416,-8.478639,-0.170904,-4.419080,-0.006409,-0.000482,-0.003791,,,,4636922280964784100.000000,0.013870,-0.854114,0.005350,0.519873,-8.145626,-0.292978,-4.935079,0.001356,0.002136,-0.003985,,,,4636917019629846500.000000,0.029139,-0.870849,0.017157,0.490386,-2.728493,-1.672414,9.185933,-0.003229,-0.000522,0.002658,,,,4636916160636387300.000000,0.985640,-0.089944,0.142431,0.011719,-2.722251,-0.068771,9.192175,-0.010343,-0.001068,0.003908,,,,4636916375384752100.000000,0.989355,0.002284,0.145503,-0.000718,-9.542027,0.379123,0.071163,-0.004273,-0.009274,0.000000,,,,4636919596610224100.000000,0.290815,0.659328,0.264582,-0.640867
1763460523153228,-8.466432,-0.181916,-4.413574,-0.007372,-0.001068,-0.003686,,,,4636922232534396900.000000,0.013860,-0.854117,0.005329,0.519869,-8.142338,-0.310815,-4.949628,0.000288,0.002136,-0.002712,,,,4636917019629846500.000000,0.029148,-0.870851,0.017142,0.490382,-2.728215,-1.660487,9.192175,-0.003180,-0.000546,0.003204,,,,4636916160636387300.000000,0.985639,-0.089954,0.142432,0.011726,-2.730287,-0.069380,9.176103,-0.007504,-0.001771,0.004273,,,,4636916375384752100.000000,0.989354,0.002253,0.145508,-0.000701,-9.472253,0.389945,0.037314,-0.004091,-0.021000,-0.000061,,,,4636919596610224100.000000,0.290845,0.659277,0.264575,-0.640909
1763460523161040,-8.459730,-0.200824,-4.417883,-0.009027,-0.000586,-0.004273,,,,4636922173590601700.000000,0.013846,-0.854121,0.005304,0.519862,-8.151256,-0.308474,-4.947288,0.000000,0.002917,-0.001356,,,,4636917019629846500.000000,0.029153,-0.870855,0.017131,0.490376,-2.734458,-1.659926,9.174286,-0.004273,-0.001044,0.004248,,,,4636916213086448600.000000,0.985638,-0.089966,0.142432,0.011738,-2.758561,-0.044969,9.175794,-0.000785,-0.002136,0.004273,,,,4636916375384752100.000000,0.989354,0.002249,0.145511,-0.000687,-9.460737,0.378430,0.048830,-0.001129,-0.014471,-0.001068,,,,4636919596610224100.000000,0.290857,0.659244,0.264571,-0.640938
1763460523168852,-8.448723,-0.218533,-4.436791,-0.011058,-0.000482,-0.004273,,,,4636922173590601700.000000,0.013825,-0.854126,0.005274,0.519856,-8.163462,-0.314102,-4.952915,0.000000,0.003985,-0.001068,,,,4636917019629846500.000000,0.029157,-0.870861,0.017121,0.490365,-2.740420,-1.678376,9.155553,-0.005837,-0.002658,0.005862,,,,4636916268010569700.000000,0.985637,-0.089984,0.142426,0.011757,-2.763047,-0.012521,9.179967,0.004948,-0.003542,0.004976,,,,4636916234060975100.000000,0.989354,0.002267,0.145509,-0.000675,-9.462809,0.379120,0.048830,-0.002257,-0.006288,-0.001129,,,,4636919596610224100.000000,0.290864,0.659231,0.264578,-0.640945
1763460523176664,-8.440818,-0.248447,-4.426989,-0.011855,-0.001068,-0.004754,,,,4636922173590601700.000000,0.013802,-0.854129,0.005241,0.519851,-8.157837,-0.335225,-4.947289,0.000000,0.005833,-0.001068,,,,4636917019629846500.000000,0.029161,-0.870870,0.017111,0.490349,-2.746666,-1.690582,9.155553,-0.008520,-0.002161,0.006930,,,,4636916268010569700.000000,0.985634,-0.090012,0.142422,0.011782,-2.750840,0.000000,9.179967,0.007815,-0.001461,0.006044,,,,4636916160636387300.000000,0.989353,0.002297,0.145514,-0.000659,-9.498048,0.390637,0.048830,-0.004273,-0.003912,-0.002016,,,,4636919596610224100.000000,0.290871,0.659221,0.264596,-0.640945
1763460523184476,-8.453024,-0.263061,-4.417875,-0.009719,-0.000587,-0.005822,,,,4636922173590601700.000000,0.013789,-0.854134,0.005209,0.519845,-8.145630,-0.350723,-4.952914,0.000000,0.005629,-0.001068,,,,4636917019629846500.000000,0.029166,-0.870879,0.017102,0.490333,-2.734744,-1.708751,9.173435,-0.009092,-0.001068,0.007999,,,,4636916268010569700.000000,0.985631,-0.090041,0.142423,0.011810,-2.762731,0.000000,9.171935,0.005734,0.000000,0.005003,,,,4636916160636387300.000000,0.989352,0.002319,0.145526,-0.000647,-9.510255,0.389949,0.048142,-0.004273,0.002196,0.000120,,,,4636919596610224100.000000,0.290878,0.659228,0.264616,-0.640927
1763460523192288,-8.476232,-0.250855,-4.436788,-0.008545,0.000000,-0.005446,,,,4636922173590601700.000000,0.013779,-0.854139,0.005180,0.519836,-8.160168,-0.318355,-4.991865,0.000780,0.006121,-0.001068,,,,4636917019629846500.000000,0.029172,-0.870889,0.017094,0.490315,-2.740131,-1.727204,9.198135,-0.008024,-0.000547,0.007502,,,,4636916110742853600.000000,0.985628,-0.090066,0.142426,0.011836,-2.771080,0.016062,9.175791,0.004975,0.000000,0.004273,,,,4636916160636387300.000000,0.989350,0.002337,0.145537,-0.000637,-9.521774,0.379116,0.037994,-0.004213,0.002784,0.002196,,,,4636919596610224100.000000,0.290889,0.659238,0.264630,-0.640905
